Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Nation
RMS Eranga ,2011-2016,19,11,8,34,12,11.33,64,53.12,0,0,1,HKG
BN French ,1985-1988,13,8,3,34,9,6.8,71,47.88,0,0,2,OMAN
AS Luseno ,2003-2010,10,9,7,34,16,17.0,50,68.0,0,0,1,BMUDA
M Mbangwa ,1996-2002,29,13,6,34,11,4.85,56,60.71,0,0,2,INDIA
Mohammad Asif ,2005-2010,38,16,7,34,6,3.77,100,34.0,0,0,3,AUS
CG Rackemann ,1983-1991,52,18,6,34,9,2.83,77,44.15,0,0,6,ZIM
TT Smart ,2004-2004,2,2,0,34,25,17.0,94,36.17,0,0,0,SL
Fayyaz Butt ,2019-2019,5,3,1,33,32,16.5,42,78.57,0,0,1,NZ
T Gibbons ,2006-2006,2,2,0,33,33,16.5,98,33.67,0,0,1,INDIA
RR Kulkarni ,1983-1987,10,5,3,33,15,16.5,39,84.61,0,0,0,SA
RJ McCurdy ,1985-1985,11,6,2,33,13,8.25,71,46.47,0,0,1,NL
GE Peckover ,1983-1983,3,3,1,33,16,16.5,54,61.11,0,0,0,NL
PARP Perera ,2019-2019,2,2,0,33,33,16.5,58,56.89,0,0,1,INDIA
TL Seifert ,2019-2019,3,2,0,33,22,16.5,27,122.22,0,0,0,AUS
AS Wassan ,1990-1991,9,6,2,33,16,8.25,56,58.92,0,0,1,IRE
TM Alderman ,1981-1991,65,18,6,32,9,2.66,97,32.98,0,0,6,UAE
RE Bryson ,1997-1997,7,4,3,32,17,32.0,25,128.0,0,0,0,INDIA
BFW de Leede ,2018-2019,3,3,0,32,30,10.66,75,42.66,0,0,1,SL
BP Kruger ,2010-2011,5,3,0,32,15,10.66,50,64.0,0,0,0,ENG
SLV Raju ,1990-1996,53,16,8,32,8,4.0,67,47.76,0,0,4,SA
JD Siddons ,1988-1988,1,1,0,32,32,32.0,37,86.48,0,0,0,ZIM
SP Terry ,2016-2016,5,5,0,32,16,6.4,67,47.76,0,0,1,SL
Amir Hayat ,2018-2019,9,6,3,31,24,10.33,73,42.46,0,0,1,SCOT
BS Bedi ,1974-1979,10,7,2,31,13,6.2,70,44.28,0,0,1,SL
HM Goonatilleke ,1982-1982,6,4,3,31,14,31.0,58,53.44,0,0,0,INDIA
PW Jarvis ,1988-1993,16,8,2,31,16,5.16,39,79.48,0,0,2,AUS
C Jonker ,2018-2018,2,2,0,31,25,15.5,33,93.93,0,0,0,PAK
GC Martin ,1994-1995,5,4,0,31,16,7.75,65,47.69,0,0,0,ZIM
MN Nawaz ,1998-2002,3,3,1,31,15,15.5,71,43.66,0,0,0,USAWI
JD Nel ,2006-2010,19,10,8,31,11,15.5,54,57.4,0,0,1,AUS
PADLR Sandakan ,2016-2019,21,12,4,31,6,3.87,88,35.22,0,0,2,SA
MM Sharma ,2013-2015,26,9,5,31,11,7.75,66,46.96,0,0,1,AUS
PM Siddle ,2009-2019,20,6,3,31,10,10.33,30,103.33,0,0,1,ENG
Sikander Bakht ,1977-1989,27,11,7,31,16,7.75,97,31.95,0,0,2,NZ
RW Sims ,2002-2003,3,2,1,31,24,31.0,67,46.26,0,0,0,HKG
HR Walsh ,2019-2019,5,2,0,31,27,15.5,37,83.78,0,0,0,WI
RD Woolley ,1983-1983,4,3,2,31,16,31.0,38,81.57,0,0,0,ENG
M Yachad ,1991-1991,1,1,0,31,31,31.0,77,40.25,0,0,0,HKG
BE Young ,1998-1999,6,3,1,31,18,15.5,47,65.95,0,0,0,SL
GJ Batty ,2002-2009,10,8,2,30,17,5.0,73,41.09,0,0,1,ENG
SL Boock ,1978-1987,14,7,4,30,12,10.0,31,96.77,0,0,1,ZIM
M Cheruparambil ,2004-2004,2,2,0,30,30,15.0,52,57.69,0,0,1,NL
PT Collins ,1999-2005,30,12,5,30,10,4.28,50,60.0,0,0,2,WI
BL D'Oliveira ,1971-1972,4,4,1,30,17,10.0,43,69.76,0,0,0,CAN
Ehsan Nawaz ,2014-2018,12,10,4,30,11,5.0,87,34.48,0,0,3,KENYA
MVT Fernando ,2017-2019,8,8,6,30,7,15.0,61,49.18,0,0,1,SL
EE Hemmings ,1982-1991,33,12,6,30,8,5.0,61,49.18,0,0,1,SL
AJ Ireland ,2005-2007,26,13,5,30,8,3.75,101,29.7,0,0,3,AUS
FJ Klaassen ,2018-2019,4,3,1,30,13,15.0,52,57.69,0,0,0,PAK
IT Shillingford ,1978-1978,2,2,0,30,24,15.0,38,78.94,0,0,0,IRE
JCB Vaughan ,1979-1979,3,3,0,30,29,10.0,55,54.54,0,0,1,AUS
JS Ababu ,1999-2006,9,5,2,29,17,9.66,63,46.03,0,0,0,NL
N Pradeep ,2012-2019,42,21,14,29,7,4.14,77,37.66,0,0,4,WI
TCB Fernando ,2001-2003,17,10,6,29,14,7.25,59,49.15,0,0,1,IRE
BW Hilfenhaus ,2007-2012,25,11,8,29,16,9.66,69,42.02,0,0,0,PAK
Imran Abbas ,2000-2000,2,2,0,29,28,14.5,63,46.03,0,0,0,INDIA
DI Joyce ,2006-2007,3,3,0,29,18,9.66,56,51.78,0,0,1,PAK
ARM Opatha ,1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1,PAK
KJ Wright ,1979-1979,5,2,0,29,23,14.5,52,55.76,0,0,0,NZ
Adeel Raja ,2002-2011,21,12,2,28,8,2.8,139,20.14,0,0,4,CAN
WW Davis ,1983-1988,35,5,3,28,10,14.0,53,52.83,0,0,0,NL
JD Hall ,2010-2010,3,3,0,28,15,9.33,75,37.33,0,0,0,SL
Mohammad Hasnain ,2019-2019,5,2,0,28,28,14.0,18,155.55,0,0,1,NAM
DS Mohanty ,1997-2001,45,11,6,28,18,5.6,57,49.12,0,0,3,AUS
Taslim Arif ,1980-1980,2,2,0,28,24,14.0,58,48.27,0,0,0,PAK
Ehsan Adil ,2013-2015,6,4,1,27,15,9.0,42,64.28,0,0,0,PAK
TJ Franklin ,1983-1988,3,3,0,27,21,9.0,89,30.33,0,0,1,BMUDA
TG Gordon ,2011-2011,5,5,0,27,9,5.4,59,45.76,0,0,0,PAK
TJ Heggelman ,2010-2011,5,5,0,27,22,5.4,85,31.76,0,0,0,INDIA
HAPW Jayawardene ,2003-2007,6,5,0,27,20,5.4,44,61.36,0,0,1,AUS
TP Kamungozi ,2006-2015,14,11,6,27,12,5.4,55,49.09,0,0,2,PAK
BL Kotze ,2003-2003,5,4,1,27,24,9.0,51,52.94,0,0,2,PAK
WM Lawry ,1971-1971,1,1,0,27,27,27.0,49,55.1,0,0,0,WI
Mohsin Kamal ,1984-1989,19,6,3,27,11,9.0,40,67.5,0,0,0,OMAN
Mujahid Jamshed ,1997-1997,4,3,1,27,23,13.5,54,50.0,0,0,0,INDIA
RJ Robinson ,2007-2009,3,2,0,27,17,13.5,40,67.5,0,0,0,BDESH
Rumman Raees ,2017-2018,9,4,1,27,16,9.0,24,112.5,0,0,1,ENG
ED Solkar ,1974-1976,7,6,0,27,13,4.5,79,34.17,0,0,1,PAK
BA Williams ,2002-2004,25,6,4,27,13,13.5,46,58.69,0,0,2,SA
Zakir Khan ,1984-1990,17,5,4,27,11,27.0,63,42.85,0,0,0,SA
Aizaz Cheema ,2011-2012,14,6,3,26,9,8.66,45,57.77,0,0,0,NZ
BG Hadlee ,1975-1975,2,2,1,26,19,26.0,93,27.95,0,0,0,NAM
RC Haynes ,1989-1991,8,6,1,26,18,5.2,66,39.39,0,0,2,NAM
Khurram Nawaz ,2019-2019,3,2,1,26,17,26.0,49,53.06,0,0,0,PAK
A Kuruvilla ,1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1,UAE
Mosharraf Hossain ,2008-2016,5,5,1,26,8,6.5,75,34.66,0,0,0,ENG
MS Panesar ,2007-2007,26,8,3,26,13,5.2,91,28.57,0,0,0,WI
Pervez Mir ,1975-1977,3,3,1,26,18,13.0,44,59.09,0,0,0,WI
CEB Rice ,1991-1991,3,2,0,26,14,13.0,37,70.27,0,0,0,SL
TG Shaw ,1991-1994,9,6,4,26,17,13.0,35,74.28,0,0,1,SA
SL Stewart ,2010-2010,4,4,0,26,14,6.5,59,44.06,0,0,0,NL
Tareq Aziz ,2002-2004,10,8,7,26,11,26.0,73,35.61,0,0,1,BDESH
BO van Rooi ,2003-2003,3,3,2,26,17,26.0,38,68.42,0,0,0,CAN
RJ van Vuuren ,2003-2003,5,5,2,26,14,8.66,38,68.42,0,0,2,NEPAL
Wasim Haider ,1992-1992,3,2,0,26,13,13.0,70,37.14,0,0,0,PAK
Sultan Zarawani ,1994-1996,7,6,0,26,13,4.33,62,41.93,0,0,1,PAK
RJ Blakey ,1992-1993,3,2,0,25,25,12.5,50,50.0,0,0,1,PAK
DK Butler ,2005-2006,5,4,3,25,13,25.0,34,73.52,0,0,0,AUS
MLC Foster ,1973-1973,2,1,0,25,25,25.0,62,40.32,0,0,0,ENG
S Jeganathan ,1983-1988,5,4,1,25,20,8.33,39,64.1,0,0,0,HKG
KA Maharaj ,2017-2018,4,2,0,25,17,12.5,26,96.15,0,0,0,WI
GMC Mol ,2007-2008,6,4,2,25,14,12.5,54,46.29,0,0,0,AUS
Nasir Ahmed ,1988-1990,7,4,2,25,11,12.5,62,40.32,0,0,0,HKG
A Patel ,2003-2003,2,1,0,25,25,25.0,29,86.2,0,0,0,NL
AK Sah ,2018-2018,2,2,0,25,21,12.5,35,71.42,0,0,0,ENG
Saleem Altaf ,1973-1978,6,2,1,25,21,25.0,53,47.16,0,0,0,NZ
Sayed Shirzad ,2019-2019,2,1,0,25,25,25.0,17,147.05,0,0,0,PAK
Shahid Nazir ,1996-2000,17,8,7,25,8,25.0,43,58.13,0,0,0,NZ
Sohail Khan ,2008-2016,13,6,1,25,7,5.0,51,49.01,0,0,0,SL
SW Tait ,2007-2011,35,7,5,25,11,12.5,29,86.2,0,0,1,SA
SK Atai ,2019-2019,2,1,0,24,24,24.0,57,42.1,0,0,0,BDESH
MR Benson ,1986-1986,1,1,0,24,24,24.0,58,41.37,0,0,0,BDESH
AN French ,2004-2004,2,2,0,24,14,12.0,84,28.57,0,0,0,NZ
ST Gabriel ,2016-2019,25,16,9,24,12,3.42,63,38.09,0,0,4,AFG
SF Graf ,1980-1981,11,6,0,24,8,4.0,50,48.0,0,0,1,KENYA
JPR Lamsam ,2004-2008,2,2,0,24,16,12.0,47,51.06,0,0,0,WI
SW Lubbers ,1996-1996,4,4,1,24,9,8.0,37,64.86,0,0,0,SCOT
DJ Malan ,2019-2019,1,1,0,24,24,24.0,30,80.0,0,0,0,INDIA
MJ Mason ,2003-2010,26,7,4,24,13,8.0,45,53.33,0,0,1,UAE
Naeem Ashraf ,1995-1995,2,2,1,24,16,24.0,43,55.81,0,0,0,IRE
SB O'Connor ,1997-2000,38,13,6,24,8,3.42,91,26.37,0,0,3,WI
SP Pasqual ,1979-1979,2,2,1,24,23,24.0,28,85.71,0,0,0,CAN
N Pothas ,2000-2000,3,1,0,24,24,24.0,41,58.53,0,0,0,SA
Rafiqul Alam ,1986-1986,2,2,0,24,14,12.0,63,38.09,0,0,0,USA
Sheikh Salahuddin ,1997-1997,6,5,3,24,12,12.0,136,17.64,0,0,0,NZ
ML Su'a ,1992-1995,12,7,2,24,12,4.8,56,42.85,0,0,0,INDIA
Amir Hamza ,2012-2017,31,16,9,23,7,3.28,94,24.46,0,0,1,AUS
JO Angara ,1997-2003,17,11,5,23,6,3.83,64,35.93,0,0,1,UAE
HAG Anthony ,1995-1995,3,3,0,23,21,7.66,22,104.54,0,0,1,HKG
Asim Butt ,1999-1999,5,4,0,23,11,5.75,28,82.14,0,0,0,ENG
SV Bahutule ,1997-2003,8,4,1,23,11,7.66,29,79.31,0,0,0,UAE
J Figy John ,2019-2019,1,1,0,23,23,23.0,36,63.88,0,0,0,PAK
SC Getkate ,2019-2019,3,2,1,23,16,23.0,23,100.0,0,0,0,BDESH
AE Greenidge ,1978-1978,1,1,0,23,23,23.0,33,69.69,0,0,0,NZ
E Katchay ,2008-2009,5,3,1,23,12,11.5,41,56.09,0,0,0,UAE
J Louw ,2008-2008,3,1,0,23,23,23.0,7,328.57,0,0,0,INDIA
SJ Massiah ,2004-2004,2,2,0,23,23,11.5,44,52.27,0,0,1,INDIA
AJ Penn ,1997-2001,5,3,1,23,15,11.5,33,69.69,0,0,0,NEPAL
V Razdan ,1989-1990,3,3,1,23,18,11.5,27,85.18,0,0,0,CAN
CP Tremain ,2016-2016,4,3,2,23,23,23.0,37,62.16,0,0,1,SL
Waheed Ahmed ,2019-2019,2,2,0,23,17,11.5,51,45.09,0,0,0,CAN
Afzaal Haider ,2004-2008,4,4,1,22,22,7.33,52,42.3,0,0,2,WI
DW Headley ,1996-1999,13,6,4,22,10,11.0,49,44.89,0,0,1,SCOT
Kamran Shazad ,2014-2015,4,3,1,22,13,11.0,25,88.0,0,0,1,ENG
Mohammad Salman ,2011-2011,7,3,1,22,19,11.0,39,56.41,0,0,1,AUS
Shafiuddin Ahmed ,1997-2000,11,10,6,22,11,5.5,66,33.33,0,0,3,SA
BR Taylor ,1973-1973,2,1,0,22,22,22.0,42,52.38,0,0,0,ENG
CM Wells ,1985-1985,2,2,0,22,17,11.0,44,50.0,0,0,0,USA
Ali Asad ,2004-2004,2,2,1,21,12,21.0,47,44.68,0,0,0,NL
B Arun ,1986-1987,4,3,1,21,8,10.5,32,65.62,0,0,0,CAN
AB Dinda ,2010-2013,13,5,0,21,16,4.2,36,58.33,0,0,2,ZIM
Karan KC ,2018-2019,5,4,0,21,18,5.25,23,91.3,0,0,2,BDESH
S Keshvani ,2009-2009,5,2,0,21,17,10.5,38,55.26,0,0,0,SCOT
MAWR Madurasinghe ,1988-1992,12,6,4,21,8,10.5,62,33.87,0,0,0,BMUDA
J Patraj ,2007-2007,2,2,0,21,20,10.5,48,43.75,0,0,0,PAK
K Pierre ,2019-2019,2,1,0,21,21,21.0,18,116.66,0,0,0,CAN
DA Stirling ,1984-1984,6,5,2,21,13,7.0,39,53.84,0,0,0,INDIA
I Wardlaw ,2013-2015,22,14,8,21,7,3.5,40,52.5,0,0,5,UAE
RA Woolmer ,1972-1976,6,4,0,21,9,5.25,46,45.65,0,0,1,SL
SP Davis ,1986-1988,39,11,7,20,6,5.0,34,58.82,0,0,1,IRE
O Henry ,1992-1992,3,3,1,20,11,10.0,26,76.92,0,0,0,AUS
AP Igglesden ,1994-1994,4,3,1,20,18,10.0,31,64.51,0,0,1,INDIA
MR Johnson ,2004-2004,2,2,0,20,20,10.0,19,105.26,0,0,1,ENG
MMA Jonkman ,2007-2010,4,2,0,20,13,10.0,51,39.21,0,0,0,NL
BM Mauricette ,1979-1979,3,3,0,20,15,6.66,68,29.41,0,0,1,WI
DT Mutendera ,1999-2001,9,4,2,20,10,10.0,43,46.51,0,0,0,NEPAL
Najmul Hossain Shanto ,2018-2018,3,3,0,20,7,6.66,45,44.44,0,0,0,INDIA
IL Philip ,1999-1999,3,3,0,20,17,6.66,89,22.47,0,0,1,ZIM
ADJ Pitcher ,2007-2007,3,3,0,20,12,6.66,28,71.42,0,0,1,WI
Rizwan-uz-Zaman ,1981-1987,3,3,0,20,14,6.66,129,15.5,0,0,0,SL
AF Sattaur ,2003-2003,3,3,0,20,13,6.66,60,33.33,0,0,1,CAN
PH Sharma ,1976-1976,2,2,0,20,14,10.0,39,51.28,0,0,0,SCOT
Umair Ali ,2015-2015,2,2,0,20,10,10.0,30,66.66,0,0,0,NAM
KIW Wijegunawardene ,1988-1992,26,12,5,20,8,2.85,55,36.36,0,0,4,ENG
CA Young ,2014-2017,13,6,2,20,11,5.0,32,62.5,0,0,2,WI
JP Behrendorff ,2019-2019,11,5,3,19,11,9.5,15,126.66,0,0,1,ENG
JJ Bumrah ,2016-2019,58,13,8,19,10,3.8,43,44.18,0,0,4,INDIA
JW Dernbach ,2011-2013,24,8,1,19,5,2.71,39,48.71,0,0,1,WI
EL Gouka ,1996-1996,3,2,1,19,19,19.0,36,52.77,0,0,0,NZ
RGA Headley ,1973-1973,1,1,0,19,19,19.0,41,46.34,0,0,0,ZIM
S Jora ,2019-2019,1,1,0,19,19,19.0,20,95.0,0,0,0,OMAN
T Kumaran ,1999-2000,8,3,0,19,8,6.33,27,70.37,0,0,0,WI
MA Meman ,1987-1987,1,1,0,19,19,19.0,22,86.36,0,0,0,HKG
V Permaul ,2012-2017,7,4,1,19,10,6.33,26,73.07,0,0,0,PAK
HSM Pieris ,1975-1975,3,3,1,19,16,9.5,59,32.2,0,0,0,INDIA
Sami Faridi ,2008-2008,3,2,0,19,16,9.5,31,61.29,0,0,0,UAE
MJ Smith ,1999-1999,5,5,0,19,13,3.8,85,22.35,0,0,0,UAE
Sunzamul Islam ,2017-2018,3,1,0,19,19,19.0,24,79.16,0,0,0,PAK
C Viljoen ,2019-2019,2,2,1,19,17,19.0,23,82.6,0,0,0,CAN
AG Wharf ,2004-2005,13,5,3,19,9,9.5,28,67.85,0,0,1,SL
KOK Williams ,2017-2018,8,5,4,19,16,19.0,27,70.37,0,0,0,PAK
SG Borthwick ,2011-2011,2,2,0,18,15,9.0,16,112.5,0,0,0,NZ
DL Chahar ,2018-2019,3,2,1,18,12,18.0,22,81.81,0,0,0,ENG
CEH Croft ,1977-1981,19,6,4,18,8,9.0,38,47.36,0,0,0,SL
HJ Howarth ,1973-1975,9,5,2,18,11,6.0,26,69.23,0,0,1,KENYA
F Kasteni ,2007-2007,3,3,0,18,9,6.0,42,42.85,0,0,1,HKG
AV Lalcheta ,2019-2019,2,2,0,18,12,9.0,47,38.29,0,0,0,PAK
JJC Lawson ,2001-2005,13,5,2,18,8,6.0,16,112.5,0,0,0,KENYA
Munir Dar ,2008-2008,2,2,0,18,14,9.0,16,112.5,0,0,0,SL
Saleem Pervez ,1980-1980,1,1,0,18,18,18.0,39,46.15,0,0,0,WI
LR Shukla ,1999-1999,3,2,0,18,13,9.0,19,94.73,0,0,0,NZ
Sultan Ahmed ,2019-2019,2,2,0,18,11,9.0,42,42.85,0,0,0,SL
Syed Maqsood ,2004-2004,2,2,0,18,13,9.0,43,41.86,0,0,0,ENG
Tanvir Ahmed ,2011-2011,2,1,0,18,18,18.0,12,150.0,0,0,0,SL
K Whatham ,2011-2011,1,1,0,18,18,18.0,41,43.9,0,0,0,BDESH
RGCE Wijesuriya ,1982-1985,8,3,2,18,12,18.0,48,37.5,0,0,1,ENG
Zulqarnain ,1985-1989,16,6,3,18,11,6.0,30,60.0,0,0,2,NZ
GI Allott ,1997-2000,31,11,6,17,7,3.4,56,30.35,0,0,2,USA
SM Curran ,2018-2018,2,2,0,17,15,8.5,29,58.62,0,0,0,CAN
IS Gallage ,1999-2001,3,2,1,17,14,17.0,27,62.96,0,0,0,BDESH
RD Gudhka ,2011-2011,2,2,1,17,10,17.0,14,121.42,0,0,0,ENG
MJ Hoggard ,2001-2006,26,6,2,17,7,4.25,30,56.66,0,0,1,NL
Ilyas Gull ,2004-2004,2,2,0,17,16,8.5,59,28.81,0,0,0,ZIM
Intikhab Alam ,1973-1976,4,2,0,17,10,8.5,45,37.77,0,0,0,AUS
IT Iqbal ,1996-1996,3,2,0,17,16,8.5,52,32.69,0,0,0,KENYA
RSA Jayasekera ,1982-1982,2,1,0,17,17,17.0,42,40.47,0,0,0,NZ
KCB Jeremy ,2000-2001,6,4,2,17,8,8.5,42,40.47,0,0,1,UAE
RJ Kennedy ,1996-1996,7,4,3,17,8,17.0,15,113.33,0,0,0,INDIA
CBRLS Kumara ,2017-2019,13,6,3,17,7,5.66,45,37.77,0,0,0,SCOT
P Lever ,1971-1975,10,3,2,17,8,17.0,24,70.83,0,0,0,INDIA
PHKD Mendis ,2019-2019,2,2,1,17,9,17.0,38,44.73,0,0,0,SAUSA
Raqibul Hasan ,1986-1986,2,2,0,17,12,8.5,65,26.15,0,0,0,SCOT
CEW Silverwood ,1996-2001,7,4,0,17,12,4.25,34,50.0,0,0,1,ENG
RW Anderson ,1976-1978,2,2,1,16,12,16.0,46,34.78,0,0,0,WI
JH Desai ,2004-2004,1,1,0,16,16,16.0,38,42.1,0,0,0,ENG
N Ifill ,2003-2006,4,3,0,16,9,5.33,45,35.55,0,0,1,PAK
Jahangir Shah ,1986-1990,5,4,2,16,8,8.0,62,25.8,0,0,1,IRE
RL Johnson ,2003-2003,10,4,1,16,10,5.33,20,80.0,0,0,1,ENG
BP Loots ,2010-2011,7,5,2,16,9,5.33,27,59.25,0,0,1,PAK
B Muzarabani ,2018-2018,18,15,7,16,7,2.0,89,17.97,0,0,5,BDESH
KJ O'Keeffe ,1977-1977,2,2,1,16,16,16.0,38,42.1,0,0,1,NZ
FN Otieno ,2010-2010,4,4,0,16,8,4.0,68,23.52,0,0,1,BDESH
ADG Roberts ,1976-1976,1,1,0,16,16,16.0,24,66.66,0,0,0,ENG
V Shetty ,2008-2014,2,2,0,16,9,8.0,29,55.17,0,0,0,CAN
Shubman Gill ,2019-2019,2,2,0,16,9,8.0,32,50.0,0,0,0,ENG
CB Sole ,2016-2018,11,5,0,16,7,3.2,36,44.44,0,0,0,INDIA
S Somasunder ,1996-1996,2,2,0,16,9,8.0,63,25.39,0,0,0,IRE
J Theron ,2010-2019,9,6,1,16,6,3.2,30,53.33,0,0,2,ENG
BTJ Wheal ,2016-2019,13,7,3,16,14,4.0,31,51.61,0,0,3,PAK
PJW Allott ,1982-1985,13,6,1,15,8,3.0,25,60.0,0,0,2,UAE
KN Amalean ,1986-1988,8,3,1,15,9,7.5,26,57.69,0,0,0,PAK
RR Beaton ,2017-2017,2,2,1,15,12,15.0,51,29.41,0,0,0,UAE
HF Gurney ,2014-2014,10,6,4,15,6,7.5,33,45.45,0,0,0,ENG
RS Higgins ,2006-2006,11,8,2,15,7,2.5,63,23.8,0,0,3,ENG
Irfan Fazil ,2000-2000,1,1,0,15,15,15.0,16,93.75,0,0,0,SL
GE Kidd ,2007-2008,6,1,0,15,15,15.0,25,60.0,0,0,0,AUS
BW Luckhurst ,1975-1975,3,3,0,15,14,5.0,69,21.73,0,0,1,PAK
Mansoor Rana ,1990-1990,2,2,0,15,10,7.5,24,62.5,0,0,0,PAK
Mohammad Zahid ,1996-2002,11,4,2,15,7,7.5,22,68.18,0,0,0,ZIM
EMDY Munaweera ,2017-2017,2,2,0,15,11,7.5,29,51.72,0,0,0,CAN
Nurul Abedin ,1986-1990,4,4,0,15,13,3.75,55,27.27,0,0,2,NZ
HD Rutherford ,2013-2013,4,4,0,15,11,3.75,56,26.78,0,0,0,NZ
Sajjad Ahmed ,1995-1995,2,2,0,15,11,7.5,46,32.6,0,0,0,BDESH
DM Smith ,1986-1990,2,2,1,15,10,15.0,40,37.5,0,0,0,PAK
Tariq Javed ,1979-1979,3,3,0,15,8,5.0,77,19.48,0,0,0,ENG
PCR Tufnell ,1990-1997,20,10,9,15,5,15.0,31,48.38,0,0,0,PAK
PS Vaidya ,1995-1996,4,2,0,15,12,7.5,12,125.0,0,0,0,WI
A van der Merwe ,2010-2011,9,6,2,15,8,3.75,25,60.0,0,0,2,NZ
AP Wells ,1995-1995,1,1,0,15,15,15.0,10,150.0,0,0,0,AUS
Zafar Gohar ,2015-2015,1,1,0,15,15,15.0,15,100.0,0,0,0,INDIA
Asghar Ali ,2004-2004,2,2,0,14,14,7.0,53,26.41,0,0,1,NZ
Asif Mahmood ,1998-1998,2,2,0,14,14,7.0,34,41.17,0,0,1,WI
IPP Batuwitarachchi ,2008-2008,2,2,0,14,14,7.0,48,29.16,0,0,1,INDIA
AR Butcher ,1980-1980,1,1,0,14,14,14.0,26,53.84,0,0,0,NZ
G Chapple ,2006-2006,1,1,0,14,14,14.0,7,200.0,0,0,0,WI
LA Dawson ,2016-2018,3,2,0,14,10,7.0,17,82.35,0,0,0,AUS
HS Dhillon ,2006-2006,2,2,0,14,13,7.0,35,40.0,0,0,0,SL
LD Madushanka ,2017-2017,4,4,1,14,7,4.66,26,53.84,0,0,1,PAK
AA Mallett ,1971-1975,9,3,1,14,8,7.0,36,38.88,0,0,1,NAM
Mohammad Akram ,1995-2000,23,9,7,14,7,7.0,34,41.17,0,0,1,UAE
Nadeem Ghauri ,1990-1990,6,3,2,14,7,14.0,25,56.0,0,0,0,BMUDA
R Ngarava ,2017-2018,9,6,1,14,10,2.8,30,46.66,0,0,2,ZIM
IA Nicolson ,2010-2010,2,2,0,14,14,7.0,22,63.63,0,0,1,PAK
D Soraine ,2006-2012,4,4,0,14,6,3.5,20,70.0,0,0,1,AUS
GE Vivian ,1973-1973,1,1,0,14,14,14.0,30,46.66,0,0,0,NZ
LJ Woodcock ,2011-2011,4,2,1,14,11,14.0,22,63.63,0,0,0,SL
Zahid Razzak ,1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0,INDIA
Aamer Nazir ,1993-1995,9,3,2,13,9,13.0,20,65.0,0,0,0,BDESH
Aamir Kaleem ,2019-2019,2,1,0,13,13,13.0,16,81.25,0,0,0,SA
JC Archer ,2019-2019,14,7,3,13,7,3.25,22,59.09,0,0,1,UAE
Asad Ali ,2013-2013,4,2,0,13,11,6.5,16,81.25,0,0,0,PAK
LS Baker ,2008-2009,10,4,2,13,11,6.5,23,56.52,0,0,1,AUS
MD Bates ,2012-2012,2,1,0,13,13,13.0,10,130.0,0,0,0,NZ
GA Bishop ,1987-1987,2,2,0,13,7,6.5,44,29.54,0,0,0,EAf
GK Bose ,1974-1974,1,1,0,13,13,13.0,18,72.22,0,0,0,IRE
NG Cowans ,1983-1985,23,8,3,13,4,2.6,29,44.82,0,0,3,ZIM
HT Davis ,1994-1997,11,6,4,13,7,6.5,33,39.39,0,0,1,UAE
RR Emrit ,2007-2007,2,2,1,13,13,13.0,35,37.14,0,0,0,NZ
Gurkeerat Singh ,2016-2016,3,3,1,13,8,6.5,13,100.0,0,0,0,AFG
RL Hayes ,1995-1995,1,1,0,13,13,13.0,25,52.0,0,0,0,IRE
RO Hurley ,2003-2004,9,4,0,13,6,3.25,32,40.62,0,0,1,NEPAL
JJ Krejza ,2011-2011,8,2,1,13,7,13.0,23,56.52,0,0,0,BDESH
AMN Munasinghe ,1994-1996,5,4,1,13,8,4.33,52,25.0,0,0,1,BDESH
B Regmi ,2018-2019,4,4,0,13,12,3.25,47,27.65,0,0,2,SCOT
O Thomas ,2018-2019,19,10,5,13,6,2.6,53,24.52,0,0,3,WI
Usman Salahuddin ,2011-2011,2,2,0,13,8,6.5,28,46.42,0,0,0,NAM
HN Ya France ,2019-2019,4,2,1,13,11,13.0,5,260.0,0,0,0,NAM
Asim Saeed ,2004-2004,2,2,0,12,12,6.0,19,63.15,0,0,1,PAK
DM Basden ,2007-2007,2,2,0,12,7,6.0,39,30.76,0,0,0,ENG
GK Bruk-Jackson ,1993-1993,1,1,0,12,12,12.0,33,36.36,0,0,0,USA
Danish Kaneria ,2001-2007,18,10,8,12,6,6.0,22,54.54,0,0,2,SL
IC Davis ,1974-1977,3,3,1,12,11,6.0,35,34.28,0,0,1,SL
RP de Groen ,1993-1994,12,8,3,12,7,2.4,36,33.33,0,0,4,INDIA
AM de Silva ,1986-1993,4,2,0,12,8,6.0,24,50.0,0,0,0,AUS
R Dhawan ,2016-2016,3,2,1,12,9,12.0,13,92.3,0,0,0,SL
Enamul Haque jnr ,2005-2009,10,5,1,12,5,3.0,19,63.15,0,0,2,PAK
M Hayward ,1998-2002,21,5,1,12,4,3.0,28,42.85,0,0,1,INDIA
Imtiaz Abbasi ,1994-1996,7,6,4,12,6,6.0,38,31.57,0,0,0,HKG
Javed Qadeer ,1995-1995,1,1,0,12,12,12.0,23,52.17,0,0,0,ENG
TJ Jenner ,1975-1975,1,1,0,12,12,12.0,25,48.0,0,0,0,AUS
